[2026-07-01T14:53:39.425Z] GET https://gamgee.io/assets/helix/dog_037.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_038.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_039.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_040.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_041.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_042.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_043.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_044.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_045.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_046.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_047.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_048.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_049.jpg → pending (?ms, ?B)
[2026-07-01T14:53:39.426Z] GET https://gamgee.io/assets/helix/dog_050.jpg → pending (?ms, ?B)
[2026-07-01T14:53:54.891Z] GET https://gamgee.io/assets/og-image.png → pending (?ms, ?B)
[2026-07-01T14:54:44.013Z] GET https://gamgee.io/ → 200 (3ms, -654B)
[2026-07-01T14:54:44.024Z] GET https://fonts.googleapis.com/css2?family=Poppins:wght@500;600;700;800&family=Inter:wght@400;500;600&family=DM+Sans:wght@600&display=swap → 200 (2ms, -743B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/GAMGEE%20images/rose-poster.jpg → 200 (3ms, -349B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/Logos/UNSW%20Ramaciotti-logo.png → 200 (3ms, -611B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/Logos/UNSW%20RNA%20Institute.png → 200 (3ms, -612B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/Logos/University%20of%20Queensland.png → 200 (15ms, -613B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/GAMGEE%20images/Rosie%20in%20circle.png → 200 (15ms, -614B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/LogosMedia/the-australian.png → 200 (16ms, -632B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/LogosMedia/abc-news-australia.png → 200 (16ms, -611B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/LogosMedia/unsw-sydney.png → 200 (16ms, -633B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/LogosMedia/fortune.png → 200 (17ms, -612B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/LogosMedia/the-scientist.png → 200 (17ms, -631B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/LogosMedia/ibtimes-uk.png → 200 (18ms, -633B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/LogosMedia/yahoo-finance.png → 200 (19ms, -610B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/LogosMedia/nbc-news.png → 200 (19ms, -634B)
[2026-07-01T14:54:44.027Z] GET https://gamgee.io/assets/LogosMedia/the-economic-times.png → 200 (19ms, -610B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/the-conversation.png → 200 (19ms, -612B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/reason.png → 200 (19ms, -611B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/dawn.png → 200 (20ms, -632B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/cancer-health.png → 200 (21ms, -632B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/acs-information-age.png → 200 (21ms, -614B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/geo-tv.png → 200 (21ms, -635B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/tbpn-digest.png → 200 (23ms, -634B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/the-star-malaysia.png → 200 (23ms, -632B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/yahoo.png → 200 (24ms, -633B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/cnbc.svg → 200 (24ms, -661B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/hank-green.svg → 200 (24ms, -659B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/LogosMedia/core-memory-podcast.png → 200 (26ms, -633B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/Logos/founders-fund.svg → 200 (26ms, -640B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/Logos/y-combinator.svg → 200 (27ms, -662B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/Logos/golden-gate-ventures.png → 200 (28ms, -633B)
[2026-07-01T14:54:44.028Z] GET https://gamgee.io/assets/Logos/atypical-ventures.svg → 200 (29ms, -661B)
[2026-07-01T14:54:44.029Z] GET https://gamgee.io/assets/Logos/doogood-foundation.svg → 200 (28ms, -660B)
[2026-07-01T14:54:44.029Z] GET https://gamgee.io/assets/GAMGEE%20images/Dog%201.png → 200 (29ms, -634B)
[2026-07-01T14:54:44.029Z] GET https://gamgee.io/assets/GAMGEE%20images/Dog%202.png → 200 (30ms, -634B)
[2026-07-01T14:54:44.029Z] GET https://gamgee.io/assets/GAMGEE%20images/Dog%203.png → 200 (30ms, -635B)
[2026-07-01T14:54:44.029Z] GET https://gamgee.io/assets/GAMGEE%20images/Dog%204.png → 200 (30ms, -635B)
[2026-07-01T14:54:44.029Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (?ms, -991B)
[2026-07-01T14:54:44.065Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (1ms, -815B)
[2026-07-01T14:54:44.067Z] GET https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLGT9Z1xlFQ.woff2 → 200 (?ms, -814B)
[2026-07-01T14:54:44.067Z] GET https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2 → 200 (?ms, -813B)
[2026-07-01T14:54:44.067Z] GET https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLDD4Z1xlFQ.woff2 → 200 (1ms, -814B)
[2026-07-01T14:54:44.068Z] GET https://gamgee.io/assets/vid/YTDown_YouTube_Tech-boss-uses-ChatGPT-to-create-cancer-_Media_oBV1BZJalos_001_1080p.mp4 → 206 (4ms, ?B)
[2026-07-01T14:54:44.069Z] GET https://gamgee.io/assets/helix/manifest.json → 200 (8ms, -678B)
[2026-07-01T14:54:44.096Z] GET https://gamgee.io/assets/helix/dog_001.jpg → 200 (6ms, -634B)
[2026-07-01T14:54:44.096Z] GET https://gamgee.io/assets/helix/dog_002.jpg → 200 (7ms, -634B)
[2026-07-01T14:54:44.096Z] GET https://gamgee.io/assets/helix/dog_003.jpg → 200 (8ms, -634B)
